Aegis Students Society ,Aegis Students Society 
African Prisons Project ,African Prisons Project 
Ki-Aikido Society (CUKAS),Ki-Aikido Society 
Barnardo's Society ,Barnardo's Society 
Bulgarian Society (CUBG),Bulgarian Society 
Sexpression UK: Cambridge Branch ,Sexpression UK: Cambridge Branch 
Cambridge autonomous Underwater Vehicle (CAUV),Cambridge autonomous Underwater Vehicle 
Cambridge Gaza Solidarity (CGS),Cambridge Gaza Solidarity 
Cambridge Hands Off Venezuela campaign (CHOV),Cambridge Hands Off Venezuela campaign 
Campus Children's Holidays (CAMPUS),Campus Children's Holidays 
UAEM Cambridge ,UAEM Cambridge 
Cambridge Zero-Carbon Society (ZeroCarbon),Cambridge Zero-Carbon Society 
Cambridge Eastern Education and Development Society (CEEDS),Cambridge Eastern Education and Development Society 
Churchill GODS ,Churchill GODS 
Clay Pigeon Shooting Club (CUCPSC),Clay Pigeon Shooting Club 
Birding Society (CUBS),Birding Society 
Chamber Orchestra (CUCO),Chamber Orchestra 
Rifle association (CURA),Rifle association 
Social Anthropology Film Society ,Social Anthropology Film Society 
Student Advocates International (SAI),Student Advocates International 
Steelpan Society (CUSPS),Steelpan Society 
Women in Leadership (CUWL),Women in Leadership 
Drag Hounds (CUDH),Drag Hounds 
Defend the Right to Protest (CUDTRTP),Defend the Right to Protest 
Engineering World Health (EWH),Engineering World Health 
Engineers Without Borders (EWB-Cambridge),Engineers Without Borders 
The Choir of St John's College ,The Choir of St John's College 
Friends of the British Overseas territories (FOTBOT),Friends of the British Overseas territories 
Free Tibet Society ,Free Tibet Society 
The Gender & Feminism Society (GenFemSoc),The Gender & Feminism Society 
Gilbert & Sullivan Society (CUG&S),Gilbert & Sullivan Society 
Girton College Law Society (GCLS),Girton College Law Society 
Giving What We Can: Cambridge (GWWCCam),Giving What We Can: Cambridge 
Hellenic Society (CUHS),Hellenic Society 
Autonomous Flight (CUAF),Autonomous Flight 
Homerton College Boat Club (HCBC),Homerton College Boat Club 
Harry Potter Society (CUHPS),Harry Potter Society 
Impact Investing Society (CUIIS),Impact Investing Society 
Italian Dining Society (CUIDS),Italian Dining Society 
Jain Cultural Society (CUJCS),Jain Cultural Society 
Jewish Society (CUJS),Jewish Society 
Kickboxing Society (CUKBS),Kickboxing Society 
St John's College Larmor Society ,St John's College Larmor Society 
Latin American Society (CULS),Latin American Society 
Left Tea Party (LTP),Left Tea Party 
Litre of Light [LoL] ,Litre of Light [LoL] 
League of Legends Society (CULOLS),League of Legends Society 
Cambridge MedSoc ,Cambridge MedSoc 
Association Football Club (CUAFC),Association Football Club 
Modern Buddhism Society ,Modern Buddhism Society 
Cambridge Volunteers in Nepal (CVN),Cambridge Volunteers in Nepal 
Orienteering Club (CUOC),Orienteering Club 
One World Week Society (OWW),One World Week Society 
Oxbridge Biotech Roundtable (OBR),Oxbridge Biotech Roundtable 
The Oxbridge Dash ,The Oxbridge Dash 
Homerton College Absolute Pandemonium Steel Pan Band ,Homerton College Absolute Pandemonium Steel Pan Band 
Peterhouse Law Society ,Peterhouse Law Society 
Philanthropic Society (CUPS),Philanthropic Society 
Planting Promise ,Planting Promise 
Polo Club (CUPC),Polo Club 
Finance & Investment Society (CUFIS),Finance & Investment Society 
The Cambridge Student Psychology Journal (CSPJ),The Cambridge Student Psychology Journal 
Robinson College Chapel Choir ,Robinson College Chapel Choir 
Slovenian Society (CUSiS),Slovenian Society 
Southeast Asian Forum (CUSEAF),Southeast Asian Forum 
Student Parent Society (CUSPS),Student Parent Society 
Tai Chi Chuan Society (CUTCCS),Tai Chi Chuan Society 
Ukulele Orchestra ,Ukulele Orchestra 
Lacrosse Club: Women's (CUWLC),Lacrosse Club: Women's 
Investment Banking Society (CUIBS),Investment Banking Society 
Eurasia Society (CUEurasiaSoc),Eurasia Society 
Clare Ents ,Clare Ents 
King's Drama ,King's Drama 
Save the Children Society (CUSTC),Save the Children Society 
Oxbridge Cultural Exchange Project (OCEP),Oxbridge Cultural Exchange Project 
Cambridge University Astronomical Society (CUAS),Cambridge University Astronomical Society 
Bangla Society (BanglaSoc),Bangla Society 
Planet ,Planet 
Underwater Exploration Group: Scuba Divers (CUUEG),Underwater Exploration Group: Scuba Divers 
Eco Racing (CUER),Eco Racing 
Ladies' Netball Club (CULNC),Ladies' Netball Club 
Spaceflight (CUSF),Spaceflight 
Taekwondo Club (CUTKD),Taekwondo Club 
Women's Boat Club (CUWBC),Women's Boat Club 
French Society (CUFS),French Society 
Gonville Hall Debating Society (GHDS),Gonville Hall Debating Society 
Women in Banking & Finance Society (CUWIBF),Women in Banking & Finance Society 
British Science Association  (CBSA),British Science Association  
Innovation Forum (CUIF),Innovation Forum 
Islamic Society (CUISoc),Islamic Society 
JUNK - Cambridge Drumming Band ,JUNK - Cambridge Drumming Band 
Fujian White Crane Kung Fu & Tai Chi (FWC),Fujian White Crane Kung Fu & Tai Chi 
Mixed Martial Arts (CUMMA),Mixed Martial Arts 
Opera Society (CUOS),Opera Society 
International Development (CUiD),International Development 
CUTAZZ Dance Society ,CUTAZZ Dance Society 
Cambridge RAG (Cambridge Students' RAG Appeal),Cambridge RAG 
Russian Literature Society (CURLS),Russian Literature Society 
All Year Icebreakers: Cambridge Safer Spaces Waterfighting & Sheila and Her Dog Chainwriting ,All Year Icebreakers: Cambridge Safer Spaces Waterfighting & Sheila and Her Dog Chainwriting 
Spectre: A Space for Radical and Critical Comment ,Spectre: A Space for Radical and Critical Comment 
Stop The War Coalition ,Stop The War Coalition 
The Cambridge Nutter Comedy Magazine (TCN),The Cambridge Nutter Comedy Magazine 
Australian & New Zealand Society (CUANZ),Australian & New Zealand Society 
Cadenza ,Cadenza 
Chinese Calligraphy Society ,Chinese Calligraphy Society 
Cambridge University Hockey Club (CUHC),Cambridge University Hockey Club 
Christian Aid Society ,Christian Aid Society 
Clare Politics ,Clare Politics 
The Cambridge University Society for Women Lawyers ,The Cambridge University Society for Women Lawyers 
CUSU Ethical Affairs ,CUSU Ethical Affairs 
CUSU Higher Education Funding Campaign ,CUSU Higher Education Funding Campaign 
Cambridge Libertarians (CamLib),Cambridge Libertarians 
Ivory Tower Society (ITS),Ivory Tower Society 
Exploring Latin America Society (LatinCultura),Exploring Latin America Society 
Cambridge Student Liberal Democrats (CSLD),Cambridge Student Liberal Democrats 
Guild of Change Ringers (CUGCR),Guild of Change Ringers 
Oxbridge Summer Camps Abroad (OSCA),Oxbridge Summer Camps Abroad 
Pembroke Poetry Society ,Pembroke Poetry Society 
Cambridge Society for Economics Pluralism ,Cambridge Society for Economics Pluralism 
Queens and Clare Overseas Education Fund (QCOEF),Queens and Clare Overseas Education Fund 
Real Estate Finance & Investment Society (CUREFIS),Real Estate Finance & Investment Society 
Sign Language Society (CUSLS),Sign Language Society 
Community Affairs ,Community Affairs 
Students Supporting Street Kids (SSSKcam),Students Supporting Street Kids 
TEDx Society ,TEDx Society 
Yugosphere Society (CUYUS),Yugosphere Society 
