Name,Email,Bounce Check,University,RAG,First Email,From,Reply,Interested,,,,,,,,,,,,,,,,,,
Oxford University Labour Club,oxunilabour@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Lacrosse Club,alice.jamison@some.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Lawn Tennis Club,zebedee.nicholls@sjc.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University LDS Student Association,oxfordldssa@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University LGBTQ Society,enquiries@oulgbtsoc.org.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Liberal Democrats,matthew.sumption@chch.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Lifesaving Club,president@oulsc.org.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Light Entertainment Society,president@oules.lightentertainment.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Malaysian and Singapore Students Association,president@oumssa.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Management Society,oums2015comm@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Modern Pentathlon Association,president@oxfordpentathlon.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Morris Men,squire@am39.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Music Society,secretary@oums.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Musical Theatre Society,stefano.marchesani@wadh.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Netball Club,victoria.james@queens.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Numismatic Society,kim.zhang@wadh.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Octopush Club,lennard.lee@queens.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Pakistan Society,secretary@oupaksoc.net,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Photography Society,photographic.society@studentclubs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Physics Society,oups.committee@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Pistol Club,captain@oupc.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Poetry Society,oxforduniversitypoetrysociety@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Polish Society,michal.karolak@magd.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Polo Club,polo.club@studentclubs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Pool and Snooker Club,oupsc-president@hotmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Portuguese Society,maria.sousafialho@wadh.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Psychology Society,sophie.waldron@ccc.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Quiz Society,quiz.society@studentclubs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Rock and Metal Society,rock.society@studentclubs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Role Playing Games Society,matilda.tempest@mansfield.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Romanian Society,ana.casapopol@balliol.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Rubgy League Football Club,ourlfc.rugbyleague@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Rugby Fives Club,nicholas.whitney@magd.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Russian Society,press.ours@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Salsa Society,info@ouss.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Scientific Society,scientific.society@studentclubs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Scottish Dance Society,scottish.dance@studentclubs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Scout and Guide Group,chair@ousgg.org.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Ski and Snowboard Club,elysia.hannaford@jesus.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Society of Bibliophiles,oxford.bibliophiles@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Society of Biomedical Sciences,ousbms@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Society of Change Ringers,isobel.fray@merton.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Space and Astronomy Society,space.society@studentclubs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Spanish Society,william.carter@st-annes.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Speculative Fiction Group,ousfg.society@studentclubs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Student PEN,oxfordstudentpen@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Surf Club,ousurf@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Symphonic Band,oxford-symphonic-band@googlegroups.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Table Tennis Club,oxforduniversityttc@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Taijiquan Association Club,jennifer.handsel@stx.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Theatre Technicians and Designers,webmaster@tabsareforflying.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Trading Card Game Society,joe_buckwell@hotmail.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Triathlon Club,sam.skillcorn@jesus.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Turkish Society,turkish.society@studentclubs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Ukrainian Society,president@ukrainianoxford.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Ultimate Club,oxforduniultimate@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Underwater Exploration Club,ouueg.oxford@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University United Nations Association,president@ouuna.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Volleyball,president@ouvc.net,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Walking Club,president@ouwc.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Water Polo Club,ouwpc.pres@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Windsurfing Club,windsurfcommittee@maillist.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Wine Circle,ouwc.committee@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Women's Association Football Club,helen.bridgman@st-hughs.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Women's Rugby Union Club,ouwrfcblues@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Yacht Club,vice-commodore@ouyc.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford VegSoc,oxfordvegsoc@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Women in Business,oxfordwomeninbusiness@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford World Music Society,vincent.ooi@trinity.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Young Independence,ukipoxford@icloud.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Zumba Society,t.moore@oxon.org,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford-India Health Research Network,premjith.cheruvath@georgeinstitute.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
OxFund,hello.oxfund@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxide Radio,oxide.stationmanager@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
OxPASS,oxpass.hk@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
OxPolicy,director@oxpolicy.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Pathways to Law,pathwaystolaw@admin.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Pembroke College JCR Music & Drama,callum.spiller@pmb.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
PRAYOG,prayogeducation@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Public Health Film Society,publichealthfilmsociety@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Red Cross on Campus,daniel.zajarias-fainsod@wadh.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Sexpression Oxford,oxford@sexpression.org.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Skin Deep,skindeepoxford@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
SMV Students,university.church@ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Socialist Worker Student Society,swss@swp.org.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Society of Alternate Events,sara.tor@st-hildas.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Socrates Society,william.brown@seh.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
SOUP,oxford.ukulele@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Splash at Oxford,oxfordsplash@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Spleen,spleenoxfordliteraryjournal@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
St John Ambulance - Oxford LINKS Unit,oliviajaynesharp@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Student Parents,parentsandcarers@ousu.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Students Supporting Street Kids,ssskoxford@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Students4Students,alex.astley@students4students.org.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
SynOX,robert.oppenheimer@wolfson.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Taruithorn,taruithorn@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Arcadian Singers,arcadiansingersoxford@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Chapel Choir of St John's College,cecilia.peker@sjc.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Donut Kings,donutkingsoxford@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Failed Novelists,failednovelists@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The John Wesley Society in Oxford,committee@johnwesleysociety.org.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The One Day Play,bryony186@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxford Alternotives,theoxfordalts@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxford Belles,theoxfordbelles@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxford Book Club,theoxfordbookclub@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxford Culture Review,theoxfordculturereview@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,Yes,,,,,,,,,,,,,,,,,,,
The Oxford Forum,theoxfordforum.communications@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxford Gargoyles,oxfordgargoyles@googlemail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxford Guild Business Society,president@theoxfordguild.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxford Left Review,oxfordleftreview@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxford Star Trek Society,oscar.acton@jesus.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxford University Invariant Society,president@invariants.org.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxymoron,oxonsatire@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Pillowman at the Oxford Playhouse,thepillowman2014@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Three Musketeers,suzannah.king@regents.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Vulture Sessions,jack.saville@new.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Theology Network,pauljchilds1@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Touch Rugby,miles.partridge@ccc.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Trinity College Orchestra,charlotte.lynch@trinity.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Turl Street Orchestra,oxfordturlstreetorchestra@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
University College Music Society,grace.mallon@univ.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
University Drama Officer,drama.officer@admin.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Varsity Horse Racing Squad,alice.stables@mac.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
VERSA News,editor@versanews.co.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Vietnamese Society in Oxford,vnoxford@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
West Side Story,isabel.ogilvie-smith@seh.ox.ac.uk,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
WILD Magazine,oxfordwildmagazine@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Winton Volunteers,wintonvolunteers@gmail.com,passed,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
