Name,Acronym,Email,Bounce Check,Site,RAG,First Email,From,Reply,Interested,,,,,,,,,,,,,,,,,,
Oxford University Kickboxing Club,,oxfordunikickboxing@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Labour Club,,oxunilabour@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Lacrosse Club,,alice.jamison@some.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Lawn Tennis Club,,zebedee.nicholls@sjc.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University LDS Student Association,,oxfordldssa@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University LGBTQ Society,,enquiries@oulgbtsoc.org.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Liberal Democrats,,matthew.sumption@chch.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Lifesaving Club,,president@oulsc.org.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Light Entertainment Society,,president@oules.lightentertainment.org,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Malaysian and Singapore Students Association,,president@oumssa.org,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Management Society,,oums2015comm@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Modern Pentathlon Association,,president@oxfordpentathlon.org,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Morris Men,,squire@am39.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Music Society,,secretary@oums.org,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Musical Theatre Society,,stefano.marchesani@wadh.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Netball Club,,victoria.james@queens.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Numismatic Society,,kim.zhang@wadh.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Octopush Club,,lennard.lee@queens.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Pakistan Society,,secretary@oupaksoc.net,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Photography Society,,photographic.society@studentclubs.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Physics Society,,oups.committee@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Pistol Club,,captain@oupc.co.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Poetry Society,,oxforduniversitypoetrysociety@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Polish Society,,michal.karolak@magd.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Polo Club,,polo.club@studentclubs.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Pool and Snooker Club,,oupsc-president@hotmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Portuguese Society,,maria.sousafialho@wadh.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Psychology Society,,sophie.waldron@ccc.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Quiz Society,,quiz.society@studentclubs.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Rock and Metal Society,,rock.society@studentclubs.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Role Playing Games Society,,matilda.tempest@mansfield.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Romanian Society,,ana.casapopol@balliol.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Rubgy League Football Club,,ourlfc.rugbyleague@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Rugby Fives Club,,nicholas.whitney@magd.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Russian Society,,press.ours@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Salsa Society,,info@ouss.co.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Scientific Society,,scientific.society@studentclubs.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Scottish Dance Society,,scottish.dance@studentclubs.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Scout and Guide Group,,chair@ousgg.org.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Ski and Snowboard Club,,elysia.hannaford@jesus.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Society of Bibliophiles,,oxford.bibliophiles@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Society of Biomedical Sciences,,ousbms@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Society of Change Ringers,,isobel.fray@merton.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Space and Astronomy Society,,space.society@studentclubs.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Spanish Society,,william.carter@st-annes.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Speculative Fiction Group,,ousfg.society@studentclubs.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Student PEN,,oxfordstudentpen@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Surf Club,,ousurf@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Symphonic Band,,oxford-symphonic-band@googlegroups.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Table Tennis Club,,oxforduniversityttc@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Taijiquan Association Club,,jennifer.handsel@stx.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Theatre Technicians and Designers,,webmaster@tabsareforflying.co.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Trading Card Game Society,,joe_buckwell@hotmail.co.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Triathlon Club,,sam.skillcorn@jesus.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Turkish Society,,turkish.society@studentclubs.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Ukrainian Society,,president@ukrainianoxford.org,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Ultimate Club,,oxforduniultimate@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Underwater Exploration Club,,ouueg.oxford@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University United Nations Association,,president@ouuna.co.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Volleyball,,president@ouvc.net,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Walking Club,,president@ouwc.org,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Water Polo Club,,ouwpc.pres@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Windsurfing Club,,windsurfcommittee@maillist.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Wine Circle,,ouwc.committee@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Women's Association Football Club,,helen.bridgman@st-hughs.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Women's Rugby Union Club,,ouwrfcblues@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford University Yacht Club,,vice-commodore@ouyc.co.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford VegSoc,,oxfordvegsoc@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Women in Business,,oxfordwomeninbusiness@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford World Music Society,,vincent.ooi@trinity.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Young Independence,,ukipoxford@icloud.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford Zumba Society,,t.moore@oxon.org,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxford-India Health Research Network,,premjith.cheruvath@georgeinstitute.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
OxFund,,hello.oxfund@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Oxide Radio,,oxide.stationmanager@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
OxPASS,,oxpass.hk@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
OxPolicy,,director@oxpolicy.co.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Pathways to Law,,pathwaystolaw@admin.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Pembroke College JCR Music & Drama,,callum.spiller@pmb.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
PRAYOG,,prayogeducation@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Public Health Film Society,,publichealthfilmsociety@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Red Cross on Campus,,daniel.zajarias-fainsod@wadh.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Sexpression Oxford,,oxford@sexpression.org.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Skin Deep,,skindeepoxford@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
SMV Students,,university.church@ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Socialist Worker Student Society,,swss@swp.org.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Society of Alternate Events,,sara.tor@st-hildas.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Socrates Society,,william.brown@seh.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
SOUP,,oxford.ukulele@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Splash at Oxford,,oxfordsplash@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Spleen,,spleenoxfordliteraryjournal@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
St John Ambulance - Oxford LINKS Unit,,oliviajaynesharp@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Student Parents,,parentsandcarers@ousu.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Students Supporting Street Kids,,ssskoxford@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Students4Students,,alex.astley@students4students.org.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
SynOX,,robert.oppenheimer@wolfson.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Taruithorn,,taruithorn@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Arcadian Singers,,arcadiansingersoxford@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Chapel Choir of St John's College,,cecilia.peker@sjc.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Donut Kings,,donutkingsoxford@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Failed Novelists,,failednovelists@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The John Wesley Society in Oxford,,committee@johnwesleysociety.org.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The One Day Play,,bryony186@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxford Alternotives,,theoxfordalts@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxford Belles,,theoxfordbelles@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxford Book Club,,theoxfordbookclub@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxford Culture Review,,theoxfordculturereview@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,Yes,,,,,,,,,,,,,,,,,,,
The Oxford Forum,,theoxfordforum.communications@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxford Gargoyles,,oxfordgargoyles@googlemail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxford Guild Business Society,,president@theoxfordguild.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxford Left Review,,oxfordleftreview@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxford Star Trek Society,,oscar.acton@jesus.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxford University Invariant Society,,president@invariants.org.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Oxymoron,,oxonsatire@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Pillowman at the Oxford Playhouse,,thepillowman2014@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Three Musketeers,,suzannah.king@regents.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
The Vulture Sessions,,jack.saville@new.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Theology Network,,pauljchilds1@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Touch Rugby,,miles.partridge@ccc.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Trinity College Orchestra,,charlotte.lynch@trinity.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Turl Street Orchestra,,oxfordturlstreetorchestra@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
University College Music Society,,grace.mallon@univ.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
University Drama Officer,,drama.officer@admin.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Varsity Horse Racing Squad,,alice.stables@mac.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
VERSA News,,editor@versanews.co.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Vietnamese Society in Oxford,,vnoxford@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
West Side Story,,isabel.ogilvie-smith@seh.ox.ac.uk,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
WILD Magazine,,oxfordwildmagazine@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Winton Volunteers,,wintonvolunteers@gmail.com,P,Oxford,Yes,27.09.16,Rebecca,,,,,,,,,,,,,,,,,,,,
Cuntry Living,,matilda.munro@seh.ox.ac.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Keble String Orchestra,,stringorchestra@keblemusic.co.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Newman Society: Oxford University Catholic Society,,newman.society@studentclubs.ox.ac.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford Christian Aid Society,,bethany.john@regents.ox.ac.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford Economics and Management Society,,shayantan.rahman@seh.ox.ac.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford Hayek Society,,society@oxfordhayek.org.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford Origami Society,,joseph.strickland@bnc.ox.ac.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Australia New Zealand Society,,genevieve.martin@trinity.ox.ac.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Buddhist Society,,buddhist.society@studentclubs.ox.ac.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Chorus,,chorus@oums.org,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Dance Society,,Moudancesociety@gmail.com,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Eton Fives,,scarlett.maguire@wadh.ox.ac.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Majlis Asian Society,,jezah.khamisa@merton.ox.ac.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Real Ale Society,,secretary@ouras.org.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Taekwon-do,,president@outkd.co.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Tea Appreciation Society,,tea.society@studentclubs.ox.ac.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford Video Gaming Society,,matthew.smith2@jesus.ox.ac.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford Women in Politics,,oxwip@gmail.com,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Pusey House,,maksymilian.adach@oriel.ox.ac.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Taiwanese Society,,taiwanese.society@studentclubs.ox.ac.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Wadham College Chapel Choir,,katherine.pardee@wadh.ox.ac.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Food Justice,,foodjustice@oxfordhub.org.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Milk and Two Sugars,,producer@milkandtwosugars.com,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford International Relations Society,,president@irsoc.org.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford Management Society,,info@oumansoc.co.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford Middle Eastern Dance Society,,secretary@omeds.org.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford Opera Society,,info@oxopsoc.com,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford Transitional Justice Research,,claire.vergerio@politics.ox.co.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Korea Society,,logistics@ouks.org,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Wargames Society,,daniel.alford@spc.ox.ax.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Wine Society,,president@oxforduniversitywinesociety.org,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
OxGAPS,,office@oxgaps.info,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
OxMak,,director@oxmak.com,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
OxStu,,editor@oxfordstudent.com,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
The Sophist,,editor@the-sophist.co.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
The Tab Oxford,,editor@oxfordtab.co.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
United Oxford,,katie@unitedoxford.org,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
The Knowledge Project,,alison@knowledgeproject.co-uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
OURAS,,secretary@ouras.org.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford Biotech,,info@oxfordbiotech.org,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Drama Society,,committee@ouds.org,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Swimming Club,,naomi.vides@hertford.ox.ac.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
TEDxOxford 2015,,christopher.williams@tedxoxford.co.uk,F,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Christ Church Music Society and College Choir,,sarah.batten@chch.ox.ac.uk,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Open Oxford,,jacob.williams@exeter.ox.ac.uk,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford Geology Group Students,,students@oxgg.org.uk,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford Linguistics Society,,caris.brooks@magd.ox.ac.uk,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford Unite Against Fascism,,admin@oxforduaf.org.uk,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Aikido Club,,president@oxfordaikikai.org.uk,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Clay Pigeon Shooting Club,,jeffrey.martin@some.ox.ac.uk,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Cricket Club,,jonathan.marsden@st-hildas.ox.ac.uk,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Dancesport Club,,president@oudancesport.co.uk,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Exploration Club,,helen.tatlow@keble.ox.ac.uk,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University German Society,,president@oxford-germansoc.co.uk,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Gliding Club,,membership@ougc.org,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Jazz Orchestra,,info@oujo.co.uk,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Oxford University Jitsu Club,,benjamin.wallis@univ.ox.ac.uk,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Student Life,,kizzy.jugon@chch.ox.ac.uk,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Theatron Novum,,mail@theatronnovum.com,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
University of Oxford Poker Society,,callum.richardson@bnc.ox.ac.uk,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
001 Taxis,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Blackwells,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Bodleian Libraries,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Boswells,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Bounce Design,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Bright Network,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Broken Spoke Bike Coop,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Cecily's Fund,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Chinese Church,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Credit Suisse,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Daily Info,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Deliveroo,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Deutsche Bank,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Dominos,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Ed Aid,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
"Entrepreneurship Centre, Said Business School",,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Fusion Lifestyle,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Gideon's Church,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Graduate Recruitment Bureau,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
HOPE Churches,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Inside Careers,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
KICC Oxford,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
LA Fitness,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Lola Lo,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Lyca Mobile,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Marmite,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
Milkround,,,U,Oxford,,,,,,,,,,,,,,,,,,,,,,,
